Tag,client_id,msg_size,repetitions,worker_count,Throughput_in_MiB/second,bytes_received,delta_us,lib,protocoll
G,1,8192,8192,zmq-1,62.786,6708429,101897,zmq,tcp
G,1,8192,8192,zmq-1,61.658,6708429,103761,zmq,tcp
G,1,8192,8192,zmq-1,62.226,6708429,102813,zmq,tcp
G,1,8192,8192,zmq-1,62.301,6708429,102689,zmq,tcp
G,1,8192,8192,zmq-1,62.933,6708429,101659,zmq,tcp
G,1,8192,8192,zmq-1,63.039,6708429,101488,zmq,tcp
G,1,8192,8192,zmq-1,64.640,6708429,98973,zmq,tcp
G,1,8192,8192,zmq-1,73.806,7494861,96844,zmq,tcp
G,1,16384,8192,zmq-1,122.393,13417677,104549,zmq,tcp
G,1,16384,8192,zmq-1,126.049,13417677,101517,zmq,tcp
G,1,16384,8192,zmq-1,128.363,13417677,99687,zmq,tcp
G,1,16384,8192,zmq-1,130.326,13417677,98185,zmq,tcp
G,1,16384,8192,zmq-1,126.506,13417677,101150,zmq,tcp
G,1,16384,8192,zmq-1,122.902,13417677,104116,zmq,tcp
G,1,16384,8192,zmq-1,123.458,13417677,103647,zmq,tcp
G,1,16384,8192,zmq-1,123.585,13417677,103541,zmq,tcp
G,1,16384,8192,zmq-1,125.827,13417677,101696,zmq,tcp
G,1,16384,8192,zmq-1,135.181,15121613,106680,zmq,tcp
G,1,32768,8192,zmq-1,224.837,26836173,113829,zmq,tcp
G,1,32768,8192,zmq-1,232.852,26836173,109911,zmq,tcp
G,1,32768,8192,zmq-1,220.540,26836173,116047,zmq,tcp
G,1,32768,8192,zmq-1,222.889,26836173,114824,zmq,tcp
G,1,32768,8192,zmq-1,212.012,26836173,120715,zmq,tcp
G,1,32768,8192,zmq-1,212.485,26836173,120446,zmq,tcp
G,1,32768,8192,zmq-1,213.250,26836173,120014,zmq,tcp
G,1,32768,8192,zmq-1,218.504,26836173,117128,zmq,tcp
G,1,32768,8192,zmq-1,216.124,26836173,118418,zmq,tcp
G,1,32768,8192,zmq-1,238.102,30506189,122187,zmq,tcp
E,1,65536,8192,zmq-1,382.399,53673165,133857,zmq,tcp
E,1,65536,8192,zmq-1,392.831,53673165,130302,zmq,tcp
E,1,65536,8192,zmq-1,405.819,53673165,126132,zmq,tcp
E,1,65536,8192,zmq-1,418.599,53673165,122281,zmq,tcp
E,1,65536,8192,zmq-1,415.318,53673165,123247,zmq,tcp
E,1,65536,8192,zmq-1,405.754,53673165,126152,zmq,tcp
